設問ID(半角英数字20文字以内)	チェック設問有無(0:無 1:有)	チェック設問の解答(F04用)	F01:ラベル	F02:ラベル	F03:ラベル	F04:チェックボックス	F05:ラベル
1242	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	会社員▁下村隆俊(神戸市中央区▁51)▁先日、篠山ABCマラソン大会に参加した。バルセロナ五輪銀の有森裕子さんと世界陸上銀の市橋有里さんも来られ、去年より約1千人多い、9695人が春の丹波路を走った。ゴールの制限時間は5時間10分。	春を満喫　マラソン大会、9695人完走@マラソン大会、9695人完走@マラソン大会、9695人が汗だくで@春を満喫　マラソン大会参加、9695人@「ABCマラソン」、9695人完走@制限ぎりぎり、マラソン完走	
1243	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	30日午前0時15分ごろ、神戸市灘区灘浜町の都賀(とが)川の河口付近で、兵庫県警灘署員が、海上に浮いている男性の遺体を見つけた。遺体は28日の都賀川の増水後、行方不明になっていた同区畑原通1丁目、吉岡昌也さん(32)と家族が確認した。目立った外傷はなく、水死とみられる。	神戸・灘区の都賀川、男性の遺体を発見　不明の32歳か@神戸・灘区の都賀川、男性の遺体を発見　増水後に不明の男性@灘の都賀川で男性水死か　神戸・灘区@灘の川に男性遺体　神戸・灘区、川遊び中か@東京都賀川河口付近で遺体発見　不明の男性か@都賀川河口で遺体発見　兵庫・神戸	
1244	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	三井物産が7日、東京都港区の六本木ヒルズで、既卒者のほか社会人も対象とした会社説明会を始めた。新卒者は2013年春、社会人は通年採用を前提に開いたもので、学生と社会人がともに参加するかたちは三井物産としては初めて。9日までの3日間で約5100人が参加し、そのうち、約800人は社会人の予定だ。	三井物産、初の新卒者説明会　東京・六本木ヒルズ@お先に三井物産　東京・六本木ヒルズで会社説明会@学生と社会人、会社説明会同席　三井物産@都庁に三井物産が来た　既卒者も対象、説明会始まる@新大卒・社会人も対象　三井物産が説明会@三井物産の新卒、初の会社説明会　東京・六本木ヒルズで開始	
1245	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	いわき中央署は28日、いわき市泉玉露4丁目、自称無職丹野龍ノ介容疑者(24)を傷害の疑いで逮捕し、発表した。容疑を認めているという。同署によると、丹野容疑者は今月8日午後7時ごろ、市内の知人女性宅で、女性の息子の男児(5)の顔面を殴るなどの暴行を加え、全治2週間のけがを負わせた疑いがある。	震災で子殴り、けがさせた疑いで男逮捕　いわき中央署@知人の息子暴行、容疑の男を逮捕　いわき@5歳児にけがをさせた疑いで男を逮捕　いわき中央署@振り込め詐欺で男を逮捕　いわき中央署@特殊詐欺容疑で息子を逮捕　いわき中央署@小学生を殴った疑いで逮捕　いわき中央署	
1246	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	8月の北京五輪に出場するフランスの陸上選手らが、御岳山の岐阜県側の「飛騨御嶽高原高地トレーニングエリア」で直前合宿を張ることが決まった。古田肇知事が22日の定例会見で明らかにした。北京五輪では大気汚染などによる健康への影響が懸念されており、時差が少ない日本で直前合宿を実施する動きが、各国選手団に広がっている。	仏の陸上選手ら岐阜県で合宿　北京五輪@北京五輪直前合宿、仏陸上選手ら実施　岐阜側の「御岳山」で計画@8月の北京五輪、直前合宿　仏陸上選手ら、岐阜側の高地で@五輪直前合宿「飛騨御嶽高原で」　仏陸上選手ら、岐阜側と合意@大気対策にパリ風　仏陸上選手ら、御嶽山で直前合宿へ　北京五輪@名古屋入りへ準備着々　北京五輪・フランス陸上競技選手団	
1247	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	東日本大震災にかかわる日本政策金融公庫の融資実績が2015年2月末までに、全国で3兆9962億円(24万7250件)にのぼった。阪神大震災でのほぼ同じ期間の融資実績の3598億円(2万6178件)と比べると、金額で約11倍となった。融資実績には阪神大震災では含めなかった風評被害を含めた。	東日本大震災関連の融資実績、震災前の11倍　日本政策金融公庫@被災融資実績、全国3.9兆円に　震災関連、阪神と比11倍@「阪神」と比べ11倍　日本政策金融公庫の融資実績　東日本大震災@東日本大震災での融資、阪神の11倍　政策金融公庫@被災3兆円超す　日本政策金融公庫の融資実績@震災復興融資実績、全国の11倍　日本政策金融公庫	
1248	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	アマチュアのピアニストとして活躍する防府市在住の会社員徳冨信恵さん(23)が25日午後1時半から、山口市名田島の山口南総合センターで初めてのチャリティーコンサートを開く。徳冨さんは「音楽を通じて、若い人が力を合わせて頑張ろうとする気持ちが伝われば」と意気込んでいる。(成沢解語)徳冨さんは3歳からピアノを始めた。	ピアノ人生、集大成に　防府の徳冨さん、慈善演奏　障害者もステージ参加@音楽で頑張る気持ち、若い人に　防府の徳冨さん、山口で初のチャリティーコンサート@元アマピアニスト・徳冨さん、初のチャリティー演奏会　あす山口@山口で初コンサート　アマピアニスト・徳冨さん　25日@若手ピアニスト、初のチャリティー　25日、山口でコンサート@夢追い、ピアノの調べ　防府の徳冨さん、山口市で25日初公演	
1249	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	クラブ王者を決める欧州チャンピオンズリーグ(CL)は21日(日本時間22日)、モスクワで決勝が行われる。大会史上初めて、マンチェスター・ユナイテッドとチェルシーのイングランド勢同士の対戦。互いに手の内を知り尽くした相手と1回勝負で雌雄を決する。(ロンドン=村上研志)	マンUVS.チェルシー、あす決勝　サッカー欧州CL@初のマンUVS.チェルシー、あす決勝　サッカー・欧州CL@グローブ184号サッカー・欧州CL決勝@マンUVS.チェルシー、あす決勝戦　サッカー・欧州CL@マンUVS.チェルシー、あす決勝　サッカー・欧州CL@マンUVS.チェルシー、一発勝負　サッカー・欧州CL、21日決勝	
1250	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	がんの放射線治療に新しいハイテク機器が登場してきた。がんになった部位に、いろいろな方向から集中的に放射線を当て、正確に狙い撃ちする「トモセラピー」だ。体にメスを入れず、入院の必要もなく、患者にとって体への負担が軽い治療だ。	放射線治療に新機器　体にメス入れず、体に負担軽減@おばあちゃんの放射線治療法は?　患者の負担軽減へ新機器@がんの患部狙い撃ち　放射線治療の新機器「トモセラピー」@放射線治療に新機器　体にメス入れず、体に負担軽く@放射線治療にハイテク機器　治療費、軽い負担もなく@医療　放射線治療にハイテク機器	
1251	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	JR石和温泉駅から駅前通りを南に10分ほど下った石和八幡宮のすぐ近くに「銭湯▁石和温泉」はある。営業が始まる午後3時になると、客が次々と入って来て、男湯と女湯ののれんをくぐる。まっすぐに向かう足取りから、なじみ客だと分かる。	国鉄線:16　石和温泉　お客が次々入っていたら...@石和温泉　女子組　湯の街、湯のれん@西口温泉・石和温泉　湯ったり、ほろ酔いの湯@「銭湯　石和温泉」　笛吹市　集いの場、地元に根付き65年@石和温泉　石和町　湯と女湯、ゆったり@今だからこそ、お客さんの銭湯　女子組	
1252	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	16日投開票の知事選は選挙戦終盤に入り、9人の候補者は繁華街などで懸命に主張を訴えている。前神奈川県知事の松沢成文氏は11日の街頭演説で、「東京を暮らしやすい街にするために、政策を提起しました」と話した上で、都庁の行政改革や新銀行東京の清算を訴えた。この日は都心を中心に遊説。	新銀行東京を軸に9候補が舌戦　知事選終盤、街頭演説@9候補、繁華街で訴え　都庁改革や新銀行東京　知事選@知事選、街で9候補熱弁　東京・清算訴え　統一地方選@知事選終盤、候補者駆ける　政策訴え、区内に重点　実績強調、党首も応援@新顔・新顔9氏、街へ　街頭演説で舌戦　都知事選、あす投開票@新銀行東京を「清算」に　9候補、街で訴え　知事選	
1253	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	ザ・コラム▁鳩山一郎元首相の「没後五十年祭」が都内のホテルで開かれたのは3月7日のこと。民主党代表の小沢一郎氏も顔を出したが、報道陣殺到の中で集いの輪に入らず、献花をしてすぐ立ち去った。西松建設の献金問題で秘書が逮捕されて4日後のことである。	小沢氏の事件　「偽」の時代が問う偽装献金　若宮啓文@首相と鳩山元首相　「没後五十年祭」の行方は@鳩山元首相の「没後五十年祭」@鳩山首相の「没後五十年祭」@無責任な鳩山元首相　西松献金問題、民主・小沢氏に失望@佐藤元首相　「西松」問題、政治に動け	
1254	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	強い冬型の気圧配置の影響で17日も、県内各地で雪が降り、午前9時現在で彦根市で34センチ、大津市で3センチの積雪があった。この影響で鉄道など交通機関のダイヤが乱れたほか、一部の公立学校が休校などの措置を取った。JR琵琶湖線は午前8時ごろから22本が運休し、約100本が最大34分遅れ、約6万1千人に影響が出た。	積雪、彦根で34センチ　県内、関連交通事故136件　交通乱れ休校も@県内各地で積雪、交通機関乱れ　休校や交通乱れ@冬本番、交通に乱れ　彦根で積雪34センチ@琵琶湖線など、積雪で乱れる@国道169号通行止め　彦根で積雪3センチ@県内各地で積雪、交通機関乱れ　休校や運休相次ぐ	
1255	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	館山市坂田(ばんだ)地区で計画されている残土埋め立てについて、地元・坂田の住民24人が13日、計画を許可しないよう求める要請書を森田健作知事に出した。説明会が開かれ、事業を了承したとされていた坂田区民だけに波紋を広げそうだ。代表者が県廃棄物指導課残土対策室に届けた。	国の説明に地元反発　館山・坂田地区、残土埋め立て計画@館山の残土埋め立て、住民が反対の要請書@館山の残土埋め立て、住民が反対の要請書　森田知事に提出@県に住民ら「不許可を」　館山残土埋め立て@「了承」の地区から異議　森田知事に要請　館山・坂田の残土埋め立て問題@地元住民ら、森田知事に中止要請　館山・坂田の残土埋め立て	
1256	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	3月14日で閉店する伊勢丹吉祥寺店(武蔵野市)の閉店セールが13日、始まった。最大で80%引きの商品もあり、人気のハンドバッグや女性用コート売り場などは朝から混雑した=写真。開店前には約1200人の行列ができ、午前10時の開店を15分早めた。	伊勢丹吉祥寺店閉店セール始まる@京都・伊勢丹吉祥寺店の閉店セール始まる@閉店セール、1200人が列　伊勢丹吉祥寺店、3月14日まで　武蔵野@百貨店、大にぎわい　伊勢丹吉祥寺店閉店セール@女性用コートも混雑　伊勢丹吉祥寺店の閉店セール開始@地元でにぎわう店内セール　伊勢丹吉祥寺店	
1257	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	常総学院が2年連続11回目の夏の甲子園出場を決めた。第89回全国高校野球選手権茨城大会(朝日新聞社、県高野連主催)は26日、水戸市民球場で決勝戦があり、常総学院が8-3で常磐大を下し、2年連続で栄冠に輝いた。常総学院は1回に先制されたものの3回、島根、中村の適時打で逆転。	常総学院、逆転で連覇　第89回全国高校野球選手権茨城大会・決勝@常総学院すきなし　抜け出た地力、頂点に　第89回高校野球茨城大会・決勝@常総学院、猛打で頂点　第89回全国高校野球選手権茨城代表戦を振り返って@全国切符の常総学院、2年連続11回目　第89回全国高校野球選手権茨城大会@常総学院、投打がっちり　第89回全国高校野球選手権茨城大会・決勝@水入り　常総学院、8回に一気逆転　第89回全国高校野球選手権茨城大会	
1258	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	いたずら好きの羊が主人公の人形アニメ「映画ひつじのショーン~バック・トゥ・ザ・ホーム~」が公開中だ。「ウォレスとグルミット」シリーズでも知られる英アードマン・アニメーションズの生んだ人気キャラクター。日本でも短編テレビシリーズがEテレで放送されている。	プロゴルファー・ラムラさん　人形アニメを主人公にした@羊が主人公の人形アニメ公開中　東京・渋谷@英アードマン生んだアニメ　「ひつじのショーン~トゥ・ザ・ホーム~」@映画も無声、愉快なショーン　「目で感情伝える」　スターザック監督@BBCテレビシリーズ　たずら好きの羊が主人公@羊が主人公の人形アニメ　「映画ひつじのショーン」公開中	
1259	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	東山動物園(名古屋市千種区)に、コアラの「タイチ」(オス、1歳)が仲間入りする。16日から一般公開される。タイチの父親は、繁殖のために東山動物園から埼玉県のこども動物自然公園に貸し出された「ティムタム」(7月に7歳で死亡)タイチは東山動物園に返す約束になっていた。	今年のタイチ、会いに来て　東山動物園、16日から一般公開@コアラの「タイチ」仲間入り　きょうから東山動物園で公開@コアラの「タイチ」仲間入り　東山動物園、きょうから一般公開@コアラの「タイチ」仲間入り　東山動物園、きょうから公開@アツアツの「タイチ」仲間入り　東山動物園、きょうから公開@パパの分までかわいがって　コアラの「タイチ」、東山動物園に	
1260	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	梅雨前線の影響で南から暖かく湿った空気が入り込み、県内は23日、局地的に雷を伴う激しい雨に見舞われた。土砂崩れや倒木などが相次いだほか、浜松市中心部ではアーケードのパネルがはがれ落ちる事故も起きた。静岡地方気象台によると、松崎町で午後1時10分までに時間雨量53ミリを観測。	局地的雷伴う大雨、浜松で事故相次ぐ　土砂崩れや倒木相次ぐ@局地的に豪雨、天城山で108ミリ　浜松でアーケードの一部崩落@浜松で土砂崩れ相次ぐ　松崎で雨量53ミリ、焼津ではパネル崩落も@局地的雷伴う大雨、浜松で2人けが　土砂崩れや倒木相次ぐ@局地的雷伴う大雨、浜松で土砂崩れや倒木相次ぐ@局地雷伴う雷伴う大雨、浜松で2人けが	
1261	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	栃木銀行は17日、サッカーJリーグ入りを目指す栃木SCに対し、投資信託の販売収益の一部を寄付するキャンペーンを始めた。11月28日までに販売した投資信託の販売総額の0・05%相当を寄付金にあてる。Jリーグ加盟条件の一つである4位以上の確保に向け、正念場を迎えつつあるチームの応援に本腰を入れる構えだ。	サッカーJリーグ入りへ、投資信託収益を寄付　栃銀がキャンペーン開始@スポーツ応援に投資信託収益　栃木SCに栃木市銀行が寄付@栃銀、投信収益で栃木SCサポート　販売総額の0.05%、Jリーグ入り応援@大一番　投信販売収益の一部寄付　サッカー・栃木SCに栃木市銀行@栃木SCに投資信託収益寄付　サッカーJリーグ入りに向け、栃銀キャンペーン@投信収益の一部、栃木SCに寄付　サッカーJリーグ	
1262	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	神戸市中央区の中華街「南京町」で15日、端午節にちなみ、チマキ包みを体験するイベントが開かれた。子どもなど40人が参加した。今回はゲストとして、女子サッカー・なでしこリーグのINAC神戸レオネッサの道上彩花選手(18)=写真左=と京川舞選手(19)が登場。	小学生、チマキ包みを体験　神戸・南京町で催し@アキ包み体験、サッカー・INAC選手登場　南京町@ピッチでチマキ包み　神戸・南京町でイベント@チマキ包み、INAC選手と　南京町、子どもら40人参加@端午節にちなみ、チマキ包み体験　神戸・南京町@新生「チマキ包み」、サッカー選手が披露　南京町	
1263	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	大崎市田尻の「田尻郷土研究会」(平野一郎会長)による歴史講座が始まった。地域の歴史や風土、自然を明らかにし、後世に残していこうと毎年行われている講座で、今年で21年目。今回は「戦後の日本と郷土」をテーマに、終戦直後の政治体制と地方のつながりを10回にわたって平野会長が講義する。	手作り講座で学ぶ戦後日本と郷土　大崎の郷土研究会、今年も開催@戦後の歴史・風土、大崎で歴史講座　平野会長が講義@田尻郷土研究会の歴史講座始まる　「戦後」をテーマに@戦後の「日本と郷土」学ぶ　大崎・田尻で講座始まる@戦後の「日本と郷土」学ぶ　大崎・田尻で歴史講座@郷土の歴史・風土、後世に　大崎の研究会、歴史講座始まる	
1264	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	文部科学省が16日に発表した2013年度の「児童生徒の問題行動調査」で、県内の小・中・高校のいじめ認知件数は2712件にのぼり、前年度の576件から4・7倍に増加した。児童・生徒1千人あたりの件数は21・4件。都道府県別では9位となり、4・5件で42位だった前年度に比べて大幅に上昇した。	いじめ認知2712件　前年度の4.7倍　昨年度県内小中高生調査@小中高、いじめ認知4.7倍増　昨年度、1000人当たり全国9位に@「いじめ」県内2712件　昨年度、前年度の4.7倍　文科省調査@いじめ認知2712件　前年度の4.7倍　昨年度県内@いじめ認知2712件　前年度の4.7倍　文科省調査@いじめ認知2712人、前年度から4倍超に　文科省調査	
1265	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	県内各自治体で「子ども手当」の支給が始まる中、県は、保護者がおらず「子ども手当」の対象外となってしまう子どもたちに対して、手当相当額の補助金を支給する方針を決めた。6月定例会に提案する補正予算案に、「施設入所児童等特別支援事業費」として1716万円を盛り込んだ。11日の県部局長会議で報告された。(二階堂友紀)	県の「子ども手当」、対象外に手当支給　補正予算案に盛る@対象外にも子ども“手当”　県が補助金支給方針　福祉施設や里親に@子どもに手当支給　子ども手当で県方針@子ども手当、対象外に補助　県、補正予算案に計上へ@子ども手当、県が補助　対象外に手当分　補正予算案に計上@子ども手当、県も補助　対象外に手当分　補正予算案に計上	
1266	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	第87回全国高校サッカー選手権大会の県代表、広島皆実は31日、東京・駒沢陸上競技場で東京A代表の強豪帝京にPKの5-4で勝ち、初戦を突破した。2回戦は2日午後0時5分から徳島代表の徳島商と同競技場で対戦する。前半17分で広島皆実は反則をとられ1人退場。	J2広島皆実が帝京に5-4　全国高校サッカー@マットに集中力　広島皆実が初戦突破　全国高校サッカー@広島皆実、辛勝　帝京にPK戦5-4　全国高校サッカー@広島皆実、PK制す　全国高校サッカー@広島皆実、PKで帝京破る　全国高校サッカー全国大会@徳島商にPK戦快勝　広島皆実、初戦突破　全国高校サッカー	
1267	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	水泳の鹿児島県選手権大会は8日、鹿児島市鴨池公園水泳プールで行われ、鹿児島・志布志高3年の山口観弘(志布志DC)が男子50メートル平泳ぎで28秒09、同100メートルでも自己の持つ高校記録を0秒08上回る1分0秒58でともに高校新をマークし、いずれも優勝した。	男子50平も山口も高校新　水泳・鹿児島県選手権@福岡観弘と山口が高校新で優勝　競泳・鹿児島県選手権@山口が2種目で高校新　水泳・鹿児島県選手権大会@山口と山口、高校新で優勝　鹿児島・水泳の選手権@高校新、山口と山口がV　競泳・鹿児島県選手権@山口と山口、高校新で優勝　水泳・鹿児島大会	
1268	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	八戸市櫛引地区に産業廃棄物推計10万2千立方メートルが放置され、周辺の地下水から国の環境基準を上回る水銀などが検出された問題で、三村申吾知事は19日、対策工事費用を11月議会に提案する補正予算案に盛り込むと発表した。工事は早ければ来年2月に着手し、同年9月に終える予定。費用は約6億1500万円。	地下水水銀問題、県が対策工事へ　補正予算案に計上方針@産廃放置対策費、補正に6億円　県予算案提出へ@産廃放置対策工事、県が補正予算案に盛る@産廃放置対策、工事費計上へ　県、補正予算案に@産廃放置対策費、補正予算案に計上　県、八戸市に提案へ@産廃放置対策、工事費計上へ　県、補正予算案に計上へ	
1269	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	野木町が22日発表した新年度の当初予算案によると、一般会計は前年度当初より2・2%増えて68億4千万円になった。優先してきた小中学校の耐震化工事が今年度で終了。老朽化した役場本館の耐震補強工事に2億440万円、こども医療費の助成を現在の15歳から18歳に引き上げる事業に7740万円を計上した。	児童生徒向け施設を改修へ　野木町予算案@新市庁舎を耐震化　野木町、一般会計68億円@野木町予算案、2.2%増の68億円　新年度一般会計@「こども医療費」を増額　野木町予算案@野木町、一般会計68億円　新年度予算案@野木町予算案、一般会計68億円　小中学校耐震化が終了	
1270	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	05年3月に閉院した生駒市の生駒総合病院(196床)に代わる新病院建設計画が難航している。市は1日、タウンミーティング(TM)を市役所で開き、計画の進行状況などを説明した。市民からは市の方針を支持する声があがる一方で、「本当に病院ができるのか」などと、厳しい意見も相次いだ。	環境配慮に厳しい声　生駒の新病院計画、市がTMで説明@生駒総合病院、新病院建設計画が難航　市民から批判相次ぐ@「新病院できるの」　市民、支持や厳しい声　生駒市TM@生駒の新病院計画、市が進行状況説明　市民は厳しい意見も@大学移転先「白紙」に　市民から厳しい声　生駒の新病院計画難航@生駒の新病院計画、市が進行状況説明　TMで市民から厳しい意見	
1271	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	震災で行方不明になり、まだ見つかっていない1249人の手がかりを探すため、県警は11日、約160人態勢で沿岸部や離島計12カ所を海上保安部などと一斉に捜索した。人の骨片のようなものが計23点見つかったという。430人の行方がわからない石巻市では、渡波長浜の海岸で石巻署員ら35人が捜索した。	「捜索に全力」県警一斉に　東日本大震災@被災地、手がかり探す　県警など沿岸部一斉捜索　東日本大震災@県内の離島など一斉捜索　東日本大震災@沿岸など12カ所で不明者一斉捜索　人の骨片?23点発見@沿岸部や離島12カ所、県警が一斉捜索　東日本大震災@県内12カ所を海保などが一斉捜索　東日本大震災	
1272	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	吉野川市は16日、ペットボトルなど資源ごみを24時間持ち込める集積所を同市鴨島町喜来に設置した。一般廃棄物の処理費軽減のため、ごみをリサイクルしやすい環境づくりを進めており、集積所は今回が6カ所目となる。ごみ集積所は、缶や新聞、衣類など14種類の資源ごみが対象。	6カ所目の資源ごみ集積所を設置　吉野川市@資源ごみ24時間OK　吉野川市、集積所6カ所目@24時間持ち込めるごみ集積所を設置　吉野川市が6カ所目@企業ゴミ集積所、吉野川市が設置　24時間持ち込み可@資源ごみ、吉野川市が集積所　処理費軽減へ24時間@資源ごみ24時間、吉野川市が集積所　6カ所目	
1273	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	国内有数のホタルの鑑賞地として知られる山口県下関市豊田町。同町の道の駅「蛍街道西ノ市」がオリジナルの「ほたるビール」(1本330ミリリットル、税込み540円)の販売を始めた。道の駅近くの木屋川は、ゲンジボタル発生地として国の天然記念物になっており、シーズンには観光客らが大勢訪れる。	ほたるビール　道の駅「蛍街道西ノ市」　山口県下関市@ほたるビール、下関・豊田で販売　「ホタル」をPRへ@ほたるビール、下関・豊田で販売　「ホタル鑑賞地」PRへ@ほたるビール、下関・豊田で販売　道の駅「蛍街道西ノ市」@地元の味をPR　下関・豊田町のほたるビール@豊田のほたるビール　山口県下関市　ホタルの鑑賞地	
1274	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	大型連休まっただ中の3日、西日本は高気圧に覆われ、各地で初夏の陽気となった。和歌山県白浜町の白良浜(しららはま)海水浴場では、本州で最も早い海開きがあり、約5千人が初泳ぎを楽しんだ=写真、伊藤恵里奈撮影。大阪管区気象台によると、この日の大阪市の最高気温は26.1度。	夏日ウキウキ　和歌山・白浜町の白良浜海水浴場で海開き@初夏の陽気、白良浜で初泳ぎ　和歌山・白浜町@春の息吹　和歌山・白浜、本州で最も早い海開き@冬本番　和歌山・白浜町で海開き@さあGW　和歌山・白浜町で海開き@春の訪れ告げる初泳ぎ　和歌山・白浜町の海水浴場に5千人	
1275	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	最適な脂肪を含む豚を遺伝子で見極め、おいしい豚を育てようという取り組みが、つくば市周辺で続けられている。「つくば豚」の名称で、先月からハムやベーコンなどの加工品が発売された。個体によってばらつきが多いとされる豚肉の品質の安定にもつながるのではないかと、期待されている。(伊藤悟)	地元野菜でおいしく　脂肪含む豚、遺伝子で見極め　つくば周辺で加工品発売@豚の脂肪、遺伝子で見極め　つくば周辺、加工品発売@豚の脂肪、遺伝子で見極め　つくば周辺で取り組み続く@手作り「つくば豚」人気　脂肪含む遺伝子で豚育成　地元企業が協力@おいしい親豚選別　遺伝子で脂肪量見極め　筑波ハムなど@豚の脂肪、遺伝子で見極め　つくば周辺、加工品発売　品質安定に期待	
1276	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	名張市青蓮寺地区で15日、「平和の集い」があった。約100戸の同地区では36人が戦死し、終戦直前には米軍のB29爆撃機が墜落した。今年は在名古屋米国領事館のハリー・サリバン首席領事が初めて参加し、住民らと永遠の平和を祈った。	名古屋米首席領事が初参加し平和祈る　名張で集い@名張・平和の集いに米首席領事参加　B29墜落の地区@サリバン首席領事が初参加　名張・青蓮寺で平和の集い@サリバン首席領事が初参加　名張で平和の集い@旧在名古屋米領事が初参加し慰霊式　名張で平和の集い@米領事が初参加、平和祈る集い　名張・青蓮寺地区	
1277	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	当て逃げ事故を起こしたとして名古屋市議会の減税日本ナゴヤから除名された河合優(まさる)市議(47)=同市緑区=について、愛知県警は週明けにも、自動車運転過失傷害と道路交通法違反(不申告)の疑いで書類送検する方針を固めた。接触した車の女性にけがをさせながら逃げたとして、起訴を求める厳重処分の意見を付ける。捜査関係者が明らかにした。	河合・名古屋市議、書類送検へ　当て逃げの疑い　愛知県警@名市議、書類送検へ　当て逃げの疑い@河合・名古屋市議、書類送検へ　車当て逃げ容疑　減税日本除名@河合・名古屋市議、不申告容疑で書類送検へ　当て逃げ事故の疑い@河合・名古屋市議、書類送検へ　当て逃げの疑い@「人身事故起こした」減税・河合市議、書類送検へ　愛知県警	
1278	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	企業から内定を取り消された高校生や専門学校生、短大生を対象にした緊急支援奨学生制度を、長崎ウエスレヤン大学(長崎県諫早市)が導入する。来春卒業予定者が同大を受験して入学(編入学)すれば、入学金25万円の半額を免除する。文部科学省の担当者は「こうした制度はこれまで聞いたことがない」としている。	県内就職希望の高校生対象の緊急支援奨学生制度導入へ@長崎の大学、入学金半額　企業から内定を取り消された学生対象@内定取り消しの奨学生制度導入　長崎ウエスレてヤン大で@内定取り消しの奨学生制度導入　長崎ウエスレヤン大@元学生や専門学校が内定取り消しの学生に支援金　25万円半額免除も@企業からの内定取り消し者、奨学金で支援　長崎ウエスレヤン大	
1279	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	衆院選挙制度改革をめぐって、民主党内で8日、一票の格差を是正する「0増5減」の先行処理に異論が噴出した。国民に消費増税を強いるのに、国会議員が身を切らなければ「選挙を戦えない」という危機感からだ。先行処理を求める野党側との合意は容易ではない。	原発投票先取り合戦　与野党合意進まず@民主内、0増5減に異論続出　野党「選挙を戦えぬ」@0増5減、先行に異論　民主「定数削減も示せ」　最後は執行部に一任@0増5減、民主に異論噴出　選挙制度改革@0増5減、民主に異論噴出　衆院改革めぐり@0増5減、民主に異論噴出　衆院選挙制度改革	
1280	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	射水市長選と市議選が8日、告示された。市長選にはいずれも無所属で、現職の分家静男氏(63)と、新顔の夏野元志氏(37)の2人が立候補を届け出た。4年間の行財政改革の実績を訴える分家氏に対し、夏野氏は「市民に不安や不満がある」と現市政を批判し、市を二分する激戦の様相を呈する。	射水市長選、現新2氏立つ　市議選は23人立候補@地元財政巡り舌戦　射水市長選、現新の一騎打ちに　市議選も告示@射水市長選、現新の争い　市議選は23人立候補@現職・新顔一騎打ち　射水市長選、激戦に@射水市長選、現新の争い　市議選は29人立候補@射水市長選、現新の争い　市議選は29人の争いに　2011統一地方選	
1281	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	年内の解散総選挙に反対する決議を採択した自民党岐阜県連の猫田孝幹事長は18日、安倍首相の衆院解散表明を受け、「完全勝利に向けて万全の態勢を整えていく」とする談話を発表した。談話では「各種の実情に配慮して、この時期の解散に対し異議を唱えたが、決まった以上は自民党の勝利に向けて全力を尽くして戦っていく」としている。	民主・自民岐阜県連「完全勝利へ全力」　衆院解散@「決まった以上、全力を尽くす」　岐阜自民@衆院解散「全力で」　自民岐阜県連が談話@安倍首相の解散総選挙「万全の態勢を」　自民岐阜県連@県内小選挙区で自民岐阜県連が反対決議　衆院解散表明受け@衆院小選挙区制の早期解散に反対　自民岐阜県連の猫田幹事長	
